well,electrode,total_measurements,inactive_count,fraction_inactive,inactive_measurements,always_inactive
1,1,41,4,0.0975609756097561,"6,19,23,24",0
1,2,41,2,0.04878048780487805,"1,33",0
1,3,41,5,0.12195121951219512,"1,2,25,32,36",0
1,4,41,6,0.14634146341463414,"1,2,3,10,11,18",0
1,5,41,6,0.14634146341463414,"1,2,7,14,19,26",0
1,6,41,3,0.07317073170731707,"1,2,18",0
1,7,41,4,0.0975609756097561,"1,2,5,20",0
1,8,41,5,0.12195121951219512,"1,7,8,28,33",0
1,9,41,5,0.12195121951219512,"25,30,32,33,40",0
1,10,41,5,0.12195121951219512,"1,2,6,9,34",0
1,11,41,4,0.0975609756097561,"1,2,21,22",0
1,12,41,7,0.17073170731707318,"2,3,5,10,12,18,24",0
1,13,41,4,0.0975609756097561,"1,2,8,39",0
1,14,41,7,0.17073170731707318,"1,2,7,8,10,18,36",0
1,15,41,7,0.17073170731707318,"1,2,5,21,24,39,41",0
1,16,41,8,0.1951219512195122,"1,2,8,13,27,32,37,39",0
2,1,41,8,0.1951219512195122,"2,16,19,22,31,33,34,39",0
2,2,41,9,0.21951219512195122,"1,2,5,16,18,24,32,33,36",0
2,3,41,5,0.12195121951219512,"1,11,20,24,41",0
2,4,41,5,0.12195121951219512,"17,18,24,37,39",0
2,5,41,4,0.0975609756097561,"1,2,8,14",0
2,6,41,3,0.07317073170731707,"1,2,37",0
2,7,41,5,0.12195121951219512,"1,2,3,6,23",0
2,8,41,4,0.0975609756097561,"1,2,19,25",0
2,9,41,7,0.17073170731707318,"1,2,5,9,20,32,36",0
2,10,41,9,0.21951219512195122,"1,2,18,24,25,26,30,33,36",0
2,11,41,10,0.24390243902439024,"1,7,8,19,22,27,36,37,39,41",0
2,12,41,2,0.04878048780487805,"1,15",0
2,13,41,4,0.0975609756097561,"1,26,31,33",0
2,14,41,7,0.17073170731707318,"1,2,22,27,37,39,41",0
2,15,41,8,0.1951219512195122,"1,11,17,18,19,27,33,39",0
2,16,41,3,0.07317073170731707,"1,2,37",0
3,1,41,3,0.07317073170731707,"2,6,7",0
3,2,41,6,0.14634146341463414,"1,2,9,14,30,31",0
3,3,41,5,0.12195121951219512,"1,2,28,30,40",0
3,4,41,6,0.14634146341463414,"1,2,3,9,10,19",0
3,5,41,6,0.14634146341463414,"2,6,19,21,23,25",0
3,6,41,2,0.04878048780487805,"7,41",0
3,7,41,5,0.12195121951219512,"1,2,3,20,26",0
3,8,41,6,0.14634146341463414,"1,2,7,12,20,32",0
3,9,41,4,0.0975609756097561,"1,2,17,36",0
3,10,41,5,0.12195121951219512,"1,2,8,14,36",0
3,11,41,4,0.0975609756097561,"1,2,4,25",0
3,12,41,6,0.14634146341463414,"1,2,12,16,36,37",0
3,13,41,6,0.14634146341463414,"1,2,9,25,27,41",0
3,14,41,4,0.0975609756097561,"1,2,11,28",0
3,15,41,7,0.17073170731707318,"1,2,8,18,30,37,39",0
3,16,41,5,0.12195121951219512,"2,5,7,10,29",0
4,1,41,6,0.14634146341463414,"1,2,3,9,32,40",0
4,2,41,7,0.17073170731707318,"2,16,18,19,22,24,26",0
4,3,41,3,0.07317073170731707,"6,36,37",0
4,4,41,4,0.0975609756097561,"2,4,6,27",0
4,5,41,9,0.21951219512195122,"1,2,5,7,9,24,28,34,40",0
4,6,41,6,0.14634146341463414,"1,2,7,9,11,22",0
4,7,41,5,0.12195121951219512,"1,2,12,16,24",0
4,8,41,7,0.17073170731707318,"1,2,15,22,29,32,37",0
4,9,41,8,0.1951219512195122,"1,2,9,11,24,25,35,39",0
4,10,41,6,0.14634146341463414,"1,2,15,23,25,40",0
4,11,41,4,0.0975609756097561,"1,16,27,33",0
4,12,41,11,0.2682926829268293,"1,2,4,5,16,17,28,29,33,35,36",0
4,13,41,6,0.14634146341463414,"5,12,20,31,36,38",0
4,14,41,4,0.0975609756097561,"1,2,12,20",0
4,15,41,7,0.17073170731707318,"1,2,14,16,35,37,38",0
4,16,41,6,0.14634146341463414,"2,18,23,27,28,37",0
5,1,41,6,0.14634146341463414,"1,2,3,5,8,33",0
5,2,41,2,0.04878048780487805,"7,24",0
5,3,41,1,0.024390243902439025,1,0
5,4,41,1,0.024390243902439025,9,0
5,5,41,4,0.0975609756097561,"1,5,7,33",0
5,6,41,2,0.04878048780487805,"1,2",0
5,7,41,3,0.07317073170731707,"1,2,7",0
5,8,41,0,0.0,,0
5,9,41,5,0.12195121951219512,"1,2,3,6,18",0
5,10,41,6,0.14634146341463414,"1,2,10,13,38,40",0
5,11,41,4,0.0975609756097561,"1,2,9,23",0
5,12,41,5,0.12195121951219512,"1,2,6,7,21",0
5,13,41,5,0.12195121951219512,"1,2,19,29,31",0
5,14,41,3,0.07317073170731707,"1,2,9",0
5,15,41,5,0.12195121951219512,"1,2,8,21,28",0
5,16,41,6,0.14634146341463414,"1,2,5,9,15,38",0
6,1,41,4,0.0975609756097561,"2,8,28,41",0
6,2,41,6,0.14634146341463414,"1,2,5,12,14,21",0
6,3,41,0,0.0,,0
6,4,41,7,0.17073170731707318,"1,16,18,33,34,39,41",0
6,5,41,6,0.14634146341463414,"1,2,6,14,15,35",0
6,6,41,8,0.1951219512195122,"1,2,11,14,20,21,30,39",0
6,7,41,7,0.17073170731707318,"1,2,4,5,6,38,39",0
6,8,41,4,0.0975609756097561,"1,2,10,12",0
6,9,41,2,0.04878048780487805,"1,2",0
6,10,41,5,0.12195121951219512,"1,2,8,9,15",0
6,11,41,2,0.04878048780487805,"1,21",0
6,12,41,5,0.12195121951219512,"1,2,13,15,23",0
6,13,41,3,0.07317073170731707,"1,2,22",0
6,14,41,2,0.04878048780487805,"1,25",0
6,15,41,7,0.17073170731707318,"1,2,4,14,17,21,35",0
6,16,41,2,0.04878048780487805,"2,39",0
7,1,41,3,0.07317073170731707,"1,29,34",0
7,2,41,4,0.0975609756097561,"1,2,30,35",0
7,3,41,2,0.04878048780487805,"21,29",0
7,4,41,6,0.14634146341463414,"1,2,4,19,33,37",0
7,5,41,5,0.12195121951219512,"1,2,11,19,25",0
7,6,41,4,0.0975609756097561,"2,12,18,25",0
7,7,41,2,0.04878048780487805,"1,2",0
7,8,41,9,0.21951219512195122,"1,2,3,4,12,13,18,29,36",0
7,9,41,3,0.07317073170731707,"1,2,37",0
7,10,41,1,0.024390243902439025,1,0
7,11,41,4,0.0975609756097561,"1,2,25,35",0
7,12,41,5,0.12195121951219512,"1,17,18,28,31",0
7,13,41,5,0.12195121951219512,"1,2,5,6,8",0
7,14,41,3,0.07317073170731707,"1,2,8",0
7,15,41,6,0.14634146341463414,"1,2,6,18,22,35",0
7,16,41,6,0.14634146341463414,"1,2,4,5,35,39",0
8,1,41,5,0.12195121951219512,"1,2,6,9,40",0
8,2,41,3,0.07317073170731707,"2,16,38",0
8,3,41,4,0.0975609756097561,"1,2,11,36",0
8,4,41,3,0.07317073170731707,"3,7,40",0
8,5,41,5,0.12195121951219512,"1,2,3,36,40",0
8,6,41,4,0.0975609756097561,"1,2,10,26",0
8,7,41,2,0.04878048780487805,"1,4",0
8,8,41,3,0.07317073170731707,"31,33,37",0
8,9,41,3,0.07317073170731707,"2,26,36",0
8,10,41,8,0.1951219512195122,"3,13,14,20,22,31,32,34",0
8,11,41,4,0.0975609756097561,"2,26,27,33",0
8,12,41,6,0.14634146341463414,"1,2,13,18,23,37",0
8,13,41,5,0.12195121951219512,"1,2,8,32,36",0
8,14,41,6,0.14634146341463414,"2,10,12,13,23,31",0
8,15,41,5,0.12195121951219512,"2,5,6,35,39",0
8,16,41,8,0.1951219512195122,"2,3,4,12,17,28,31,34",0
9,1,41,4,0.0975609756097561,"1,2,34,41",0
9,2,41,7,0.17073170731707318,"2,4,14,15,17,33,37",0
9,3,41,2,0.04878048780487805,"2,38",0
9,4,41,4,0.0975609756097561,"1,2,23,37",0
9,5,41,4,0.0975609756097561,"1,2,23,37",0
9,6,41,6,0.14634146341463414,"1,12,23,27,29,31",0
9,7,41,4,0.0975609756097561,"1,2,29,41",0
9,8,41,3,0.07317073170731707,"1,10,36",0
9,9,41,5,0.12195121951219512,"2,30,33,35,40",0
9,10,41,9,0.21951219512195122,"2,5,11,12,16,21,28,35,36",0
9,11,41,6,0.14634146341463414,"7,16,26,27,38,40",0
9,12,41,7,0.17073170731707318,"1,5,17,19,25,30,37",0
9,13,41,6,0.14634146341463414,"1,2,4,8,11,30",0
9,14,41,2,0.04878048780487805,"2,41",0
9,15,41,3,0.07317073170731707,"2,10,12",0
9,16,41,4,0.0975609756097561,"1,2,9,12",0
10,1,41,4,0.0975609756097561,"1,2,18,19",0
10,2,41,4,0.0975609756097561,"1,2,3,9",0
10,3,41,4,0.0975609756097561,"1,2,5,40",0
10,4,41,4,0.0975609756097561,"1,2,9,41",0
10,5,41,5,0.12195121951219512,"1,3,20,22,34",0
10,6,41,6,0.14634146341463414,"1,2,4,6,8,16",0
10,7,41,1,0.024390243902439025,4,0
10,8,41,8,0.1951219512195122,"1,2,7,9,16,18,20,23",0
10,9,41,4,0.0975609756097561,"1,2,4,37",0
10,10,41,4,0.0975609756097561,"1,8,26,32",0
10,11,41,4,0.0975609756097561,"2,5,8,20",0
10,12,41,8,0.1951219512195122,"1,2,3,4,18,27,28,37",0
10,13,41,5,0.12195121951219512,"1,3,13,23,41",0
10,14,41,7,0.17073170731707318,"1,6,9,26,38,40,41",0
10,15,41,7,0.17073170731707318,"1,2,6,15,27,35,38",0
10,16,41,6,0.14634146341463414,"1,2,12,31,38,39",0
11,1,41,1,0.024390243902439025,1,0
11,2,41,2,0.04878048780487805,"1,7",0
11,3,41,6,0.14634146341463414,"1,2,6,11,29,33",0
11,4,41,5,0.12195121951219512,"1,2,15,37,39",0
11,5,41,6,0.14634146341463414,"1,2,11,16,25,39",0
11,6,41,5,0.12195121951219512,"1,2,9,14,21",0
11,7,41,4,0.0975609756097561,"1,2,21,35",0
11,8,41,5,0.12195121951219512,"1,2,7,33,36",0
11,9,41,6,0.14634146341463414,"1,2,3,15,17,29",0
11,10,41,5,0.12195121951219512,"1,5,16,23,33",0
11,11,41,7,0.17073170731707318,"2,6,8,21,29,31,33",0
11,12,41,3,0.07317073170731707,"1,6,40",0
11,13,41,4,0.0975609756097561,"1,2,21,40",0
11,14,41,8,0.1951219512195122,"1,2,11,13,17,25,33,37",0
11,15,41,5,0.12195121951219512,"1,2,7,22,25",0
11,16,41,6,0.14634146341463414,"1,2,12,13,18,40",0
12,1,41,6,0.14634146341463414,"1,16,23,27,30,32",0
12,2,41,4,0.0975609756097561,"1,2,14,21",0
12,3,41,5,0.12195121951219512,"1,4,12,14,24",0
12,4,41,5,0.12195121951219512,"9,15,21,28,35",0
12,5,41,3,0.07317073170731707,"1,2,13",0
12,6,41,5,0.12195121951219512,"1,7,9,12,18",0
12,7,41,3,0.07317073170731707,"1,7,9",0
12,8,41,4,0.0975609756097561,"2,18,23,34",0
12,9,41,10,0.24390243902439024,"2,3,6,14,15,21,24,26,27,28",0
12,10,41,2,0.04878048780487805,"1,2",0
12,11,41,7,0.17073170731707318,"1,2,3,9,22,28,29",0
12,12,41,7,0.17073170731707318,"1,2,10,13,21,26,38",0
12,13,41,2,0.04878048780487805,"29,33",0
12,14,41,6,0.14634146341463414,"1,2,17,19,33,36",0
12,15,41,6,0.14634146341463414,"1,2,5,15,23,38",0
12,16,41,6,0.14634146341463414,"1,2,18,27,30,40",0
13,1,41,2,0.04878048780487805,"1,2",0
13,2,41,2,0.04878048780487805,"4,25",0
13,3,41,3,0.07317073170731707,"2,7,32",0
13,4,41,5,0.12195121951219512,"1,2,14,25,34",0
13,5,41,4,0.0975609756097561,"1,5,13,35",0
13,6,41,3,0.07317073170731707,"2,9,19",0
13,7,41,4,0.0975609756097561,"1,2,7,34",0
13,8,41,4,0.0975609756097561,"1,4,5,17",0
13,9,41,3,0.07317073170731707,"1,2,7",0
13,10,41,6,0.14634146341463414,"2,10,22,24,30,40",0
13,11,41,0,0.0,,0
13,12,41,6,0.14634146341463414,"1,2,8,13,23,32",0
13,13,41,4,0.0975609756097561,"1,2,15,33",0
13,14,41,5,0.12195121951219512,"1,2,9,12,41",0
13,15,41,9,0.21951219512195122,"1,6,8,9,21,24,27,32,41",0
13,16,41,3,0.07317073170731707,"2,13,32",0
14,1,41,1,0.024390243902439025,1,0
14,2,41,2,0.04878048780487805,"1,2",0
14,3,41,1,0.024390243902439025,2,0
14,4,41,4,0.0975609756097561,"1,2,13,14",0
14,5,41,1,0.024390243902439025,1,0
14,6,41,1,0.024390243902439025,1,0
14,7,41,0,0.0,,0
14,8,41,0,0.0,,0
14,9,41,0,0.0,,0
14,10,41,0,0.0,,0
14,11,41,1,0.024390243902439025,1,0
14,12,41,4,0.0975609756097561,"2,23,24,31",0
14,13,41,2,0.04878048780487805,"1,2",0
14,14,41,4,0.0975609756097561,"1,2,7,15",0
14,15,41,3,0.07317073170731707,"13,19,21",0
14,16,41,2,0.04878048780487805,"7,11",0
15,1,41,2,0.04878048780487805,"1,31",0
15,2,41,4,0.0975609756097561,"1,2,30,33",0
15,3,41,7,0.17073170731707318,"1,2,19,30,31,38,39",0
15,4,41,3,0.07317073170731707,"1,2,35",0
15,5,41,2,0.04878048780487805,"26,33",0
15,6,41,6,0.14634146341463414,"1,12,17,21,32,37",0
15,7,41,7,0.17073170731707318,"1,2,5,12,15,36,40",0
15,8,41,5,0.12195121951219512,"1,2,12,13,16",0
15,9,41,2,0.04878048780487805,"1,2",0
15,10,41,8,0.1951219512195122,"1,6,12,16,18,20,27,33",0
15,11,41,9,0.21951219512195122,"1,2,3,4,16,20,27,30,38",0
15,12,41,7,0.17073170731707318,"1,2,4,6,19,33,38",0
15,13,41,7,0.17073170731707318,"1,13,14,25,30,33,41",0
15,14,41,4,0.0975609756097561,"1,14,30,32",0
15,15,41,3,0.07317073170731707,"1,4,41",0
15,16,41,4,0.0975609756097561,"1,17,29,33",0
16,1,41,9,0.21951219512195122,"1,2,5,7,9,17,20,22,36",0
16,2,41,6,0.14634146341463414,"2,7,9,11,19,35",0
16,3,41,4,0.0975609756097561,"1,2,12,40",0
16,4,41,7,0.17073170731707318,"2,13,15,30,32,36,40",0
16,5,41,2,0.04878048780487805,"3,16",0
16,6,41,2,0.04878048780487805,"1,2",0
16,7,41,7,0.17073170731707318,"2,4,5,10,20,30,38",0
16,8,41,3,0.07317073170731707,"1,2,36",0
16,9,41,2,0.04878048780487805,"2,14",0
16,10,41,5,0.12195121951219512,"1,2,8,18,26",0
16,11,41,7,0.17073170731707318,"2,19,21,28,32,35,38",0
16,12,41,7,0.17073170731707318,"1,2,5,9,25,31,39",0
16,13,41,4,0.0975609756097561,"1,2,12,39",0
16,14,41,6,0.14634146341463414,"2,7,10,11,16,17",0
16,15,41,7,0.17073170731707318,"1,12,20,23,25,28,31",0
16,16,41,5,0.12195121951219512,"2,5,9,28,31",0
17,1,41,7,0.17073170731707318,"1,2,5,8,26,27,33",0
17,2,41,3,0.07317073170731707,"1,23,35",0
17,3,41,3,0.07317073170731707,"1,10,17",0
17,4,41,8,0.1951219512195122,"1,2,11,12,17,24,31,41",0
17,5,41,7,0.17073170731707318,"1,2,9,10,14,31,35",0
17,6,41,8,0.1951219512195122,"1,2,8,17,28,34,37,41",0
17,7,41,4,0.0975609756097561,"1,5,27,39",0
17,8,41,4,0.0975609756097561,"1,2,14,30",0
17,9,41,8,0.1951219512195122,"1,2,7,13,21,23,31,41",0
17,10,41,6,0.14634146341463414,"1,2,18,22,25,34",0
17,11,41,2,0.04878048780487805,"1,2",0
17,12,41,5,0.12195121951219512,"1,2,5,31,40",0
17,13,41,4,0.0975609756097561,"1,2,21,36",0
17,14,41,6,0.14634146341463414,"1,2,10,22,26,29",0
17,15,41,5,0.12195121951219512,"1,2,3,22,38",0
17,16,41,8,0.1951219512195122,"1,2,10,14,22,24,31,35",0
18,1,41,7,0.17073170731707318,"1,2,6,9,28,30,32",0
18,2,41,4,0.0975609756097561,"1,2,5,28",0
18,3,41,6,0.14634146341463414,"1,2,4,16,29,30",0
18,4,41,3,0.07317073170731707,"1,2,8",0
18,5,41,6,0.14634146341463414,"1,2,10,16,24,40",0
18,6,41,5,0.12195121951219512,"1,2,21,31,34",0
18,7,41,4,0.0975609756097561,"1,2,26,35",0
18,8,41,7,0.17073170731707318,"1,2,7,18,21,22,25",0
18,9,41,3,0.07317073170731707,"11,31,36",0
18,10,41,2,0.04878048780487805,"1,2",0
18,11,41,7,0.17073170731707318,"1,2,13,16,29,32,37",0
18,12,41,6,0.14634146341463414,"1,2,13,28,39,40",0
18,13,41,7,0.17073170731707318,"1,2,7,17,31,38,39",0
18,14,41,5,0.12195121951219512,"1,2,28,29,37",0
18,15,41,4,0.0975609756097561,"1,4,20,27",0
18,16,41,7,0.17073170731707318,"1,5,20,22,27,29,36",0
19,1,41,7,0.17073170731707318,"5,8,10,13,14,20,29",0
19,2,41,5,0.12195121951219512,"1,2,26,29,34",0
19,3,41,4,0.0975609756097561,"1,9,16,22",0
19,4,41,3,0.07317073170731707,"23,25,28",0
19,5,41,6,0.14634146341463414,"1,8,14,18,39,41",0
19,6,41,1,0.024390243902439025,2,0
19,7,41,4,0.0975609756097561,"1,2,5,10",0
19,8,41,2,0.04878048780487805,"2,34",0
19,9,41,4,0.0975609756097561,"1,2,15,16",0
19,10,41,2,0.04878048780487805,"3,13",0
19,11,41,1,0.024390243902439025,1,0
19,12,41,10,0.24390243902439024,"1,2,6,10,13,17,19,21,30,34",0
19,13,41,6,0.14634146341463414,"1,11,14,16,22,29",0
19,14,41,10,0.24390243902439024,"1,2,4,12,19,21,29,31,35,40",0
19,15,41,2,0.04878048780487805,"25,35",0
19,16,41,2,0.04878048780487805,"1,2",0
20,1,41,3,0.07317073170731707,"13,26,40",0
20,2,41,0,0.0,,0
20,3,41,2,0.04878048780487805,"5,8",0
20,4,41,1,0.024390243902439025,8,0
20,5,41,7,0.17073170731707318,"5,9,14,21,30,34,35",0
20,6,41,5,0.12195121951219512,"2,12,21,22,23",0
20,7,41,4,0.0975609756097561,"1,2,4,5",0
20,8,41,4,0.0975609756097561,"1,2,21,24",0
20,9,41,4,0.0975609756097561,"1,12,13,38",0
20,10,41,9,0.21951219512195122,"1,5,10,18,22,26,27,29,36",0
20,11,41,3,0.07317073170731707,"1,8,31",0
20,12,41,4,0.0975609756097561,"1,2,7,15",0
20,13,41,10,0.24390243902439024,"1,2,6,8,13,14,20,26,32,41",0
20,14,41,3,0.07317073170731707,"1,14,38",0
20,15,41,5,0.12195121951219512,"1,2,9,11,12",0
20,16,41,5,0.12195121951219512,"1,2,10,11,21",0
21,1,41,1,0.024390243902439025,2,0
21,2,41,3,0.07317073170731707,"1,6,25",0
21,3,41,2,0.04878048780487805,"7,8",0
21,4,41,2,0.04878048780487805,"1,2",0
21,5,41,5,0.12195121951219512,"1,2,14,23,31",0
21,6,41,3,0.07317073170731707,"1,2,4",0
21,7,41,3,0.07317073170731707,"1,2,12",0
21,8,41,2,0.04878048780487805,"1,2",0
21,9,41,5,0.12195121951219512,"2,8,13,29,37",0
21,10,41,2,0.04878048780487805,"1,8",0
21,11,41,4,0.0975609756097561,"1,15,16,18",0
21,12,41,2,0.04878048780487805,"1,2",0
21,13,41,4,0.0975609756097561,"1,2,18,35",0
21,14,41,2,0.04878048780487805,"1,2",0
21,15,41,1,0.024390243902439025,21,0
21,16,41,2,0.04878048780487805,"1,2",0
22,1,41,2,0.04878048780487805,"1,40",0
22,2,41,3,0.07317073170731707,"1,38,40",0
22,3,41,3,0.07317073170731707,"1,2,40",0
22,4,41,2,0.04878048780487805,"1,16",0
22,5,41,2,0.04878048780487805,"1,39",0
22,6,41,2,0.04878048780487805,"1,2",0
22,7,41,3,0.07317073170731707,"1,6,22",0
22,8,41,4,0.0975609756097561,"1,4,33,35",0
22,9,41,2,0.04878048780487805,"1,2",0
22,10,41,2,0.04878048780487805,"1,35",0
22,11,41,3,0.07317073170731707,"1,2,35",0
22,12,41,6,0.14634146341463414,"2,14,30,33,39,41",0
22,13,41,4,0.0975609756097561,"1,2,3,7",0
22,14,41,6,0.14634146341463414,"1,2,9,31,32,33",0
22,15,41,3,0.07317073170731707,"1,2,6",0
22,16,41,7,0.17073170731707318,"1,27,32,33,37,38,41",0
23,1,41,3,0.07317073170731707,"1,2,25",0
23,2,41,1,0.024390243902439025,10,0
23,3,41,0,0.0,,0
23,4,41,5,0.12195121951219512,"2,4,7,36,41",0
23,5,41,4,0.0975609756097561,"1,12,19,23",0
23,6,41,5,0.12195121951219512,"1,2,21,33,36",0
23,7,41,5,0.12195121951219512,"1,6,23,30,40",0
23,8,41,4,0.0975609756097561,"1,2,3,8",0
23,9,41,5,0.12195121951219512,"1,2,18,29,35",0
23,10,41,5,0.12195121951219512,"1,2,4,10,37",0
23,11,41,8,0.1951219512195122,"1,2,18,20,25,26,36,40",0
23,12,41,6,0.14634146341463414,"1,2,11,14,20,28",0
23,13,41,3,0.07317073170731707,"1,12,26",0
23,14,41,2,0.04878048780487805,"1,2",0
23,15,41,5,0.12195121951219512,"1,2,16,37,41",0
23,16,41,3,0.07317073170731707,"2,6,8",0
24,1,41,6,0.14634146341463414,"1,2,4,22,23,40",0
24,2,41,2,0.04878048780487805,"1,2",0
24,3,41,6,0.14634146341463414,"1,2,4,5,23,24",0
24,4,41,7,0.17073170731707318,"2,5,17,22,25,36,39",0
24,5,41,8,0.1951219512195122,"1,2,7,14,22,33,35,40",0
24,6,41,5,0.12195121951219512,"1,2,12,19,29",0
24,7,41,3,0.07317073170731707,"2,5,30",0
24,8,41,5,0.12195121951219512,"1,2,30,32,36",0
24,9,41,7,0.17073170731707318,"1,2,10,30,31,37,40",0
24,10,41,6,0.14634146341463414,"1,2,21,28,35,37",0
24,11,41,4,0.0975609756097561,"1,2,28,30",0
24,12,41,4,0.0975609756097561,"2,14,16,31",0
24,13,41,4,0.0975609756097561,"2,13,29,38",0
24,14,41,5,0.12195121951219512,"2,20,25,28,40",0
24,15,41,4,0.0975609756097561,"1,16,31,39",0
24,16,41,4,0.0975609756097561,"15,18,22,32",0
25,1,41,5,0.12195121951219512,"1,2,5,15,25",0
25,2,41,6,0.14634146341463414,"1,2,4,11,26,37",0
25,3,41,6,0.14634146341463414,"1,2,5,9,13,32",0
25,4,41,4,0.0975609756097561,"1,2,33,37",0
